Date : 2023-05-02 10:30:45
Directory : /Users/juanma/development/golang/happ
Total : 340 files,  57562 codes, 8013 comments, 7767 blanks, all 73342 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| happ_client/lib/src/riverpod/userEvents                                                                                              |          2 |        203 |          2 |         48 |        253 |
| happ_client/lib/src/screens                                                                                                          |         74 |     10,554 |      2,238 |        868 |     13,660 |
| happ_client/lib/src/screens (Files)                                                                                                  |          1 |        200 |         42 |         18 |        260 |
| happ_client/lib/src/screens/auth                                                                                                     |          8 |        366 |        839 |        110 |      1,315 |
| happ_client/lib/src/screens/auth (Files)                                                                                             |          3 |        236 |        369 |         61 |        666 |
| happ_client/lib/src/screens/auth/signUp                                                                                              |          2 |          0 |        420 |         26 |        446 |
| happ_client/lib/src/screens/auth/widgets                                                                                             |          3 |        130 |         50 |         23 |        203 |
| happ_client/lib/src/screens/events                                                                                                   |         52 |      8,134 |        847 |        587 |      9,568 |
| happ_client/lib/src/screens/events (Files)                                                                                           |          2 |        640 |         39 |         57 |        736 |
| happ_client/lib/src/screens/events/class                                                                                             |          1 |         35 |          8 |          5 |         48 |
| happ_client/lib/src/screens/events/guestList                                                                                         |         10 |      1,517 |        236 |        100 |      1,853 |
| happ_client/lib/src/screens/events/guestList (Files)                                                                                 |          4 |        660 |        165 |         51 |        876 |
| happ_client/lib/src/screens/events/guestList/widgets                                                                                 |          6 |        857 |         71 |         49 |        977 |
| happ_client/lib/src/screens/events/invitation                                                                                        |          1 |        272 |         96 |         23 |        391 |
| happ_client/lib/src/screens/events/newEvent                                                                                          |         21 |      3,055 |        196 |        228 |      3,479 |
| happ_client/lib/src/screens/events/newEvent (Files)                                                                                  |          3 |        661 |         37 |         63 |        761 |
| happ_client/lib/src/screens/events/newEvent/DLScreen                                                                                 |          9 |        959 |         56 |         69 |      1,084 |
| happ_client/lib/src/screens/events/newEvent/IScreen                                                                                  |          5 |        659 |         70 |         32 |        761 |
| happ_client/lib/src/screens/events/newEvent/NPDScreen                                                                                |          2 |        514 |         19 |         49 |        582 |
| happ_client/lib/src/screens/events/newEvent/widgets                                                                                  |          2 |        262 |         14 |         15 |        291 |
| happ_client/lib/src/screens/events/scan                                                                                              |          1 |         81 |          0 |          3 |         84 |
| happ_client/lib/src/screens/events/updateEvent                                                                                       |         10 |      1,651 |        194 |        112 |      1,957 |
| happ_client/lib/src/screens/events/updateEvent (Files)                                                                               |          2 |        515 |        136 |         22 |        673 |
| happ_client/lib/src/screens/events/updateEvent/widgets                                                                               |          8 |      1,136 |         58 |         90 |      1,284 |
| happ_client/lib/src/screens/events/widgets                                                                                           |          6 |        883 |         78 |         59 |      1,020 |
| happ_client/lib/src/screens/main                                                                                                     |          5 |      1,452 |        133 |        106 |      1,691 |
| happ_client/lib/src/screens/main (Files)                                                                                             |          3 |        700 |        100 |         48 |        848 |
| happ_client/lib/src/screens/main/widgets                                                                                             |          2 |        752 |         33 |         58 |        843 |
| happ_client/lib/src/screens/profile                                                                                                  |          2 |         73 |        297 |         26 |        396 |
| happ_client/lib/src/screens/profile (Files)                                                                                          |          1 |          0 |        286 |         14 |        300 |
| happ_client/lib/src/screens/profile/widgets                                                                                          |          1 |         73 |         11 |         12 |         96 |
| happ_client/lib/src/screens/search                                                                                                   |          6 |        329 |         80 |         21 |        430 |
| happ_client/lib/src/screens/search (Files)                                                                                           |          3 |        180 |         29 |         13 |        222 |
| happ_client/lib/src/screens/search/class                                                                                             |          1 |         11 |          0 |          1 |         12 |
| happ_client/lib/src/screens/search/widgets                                                                                           |          2 |        138 |         51 |          7 |        196 |
| happ_client/lib/src/utils                                                                                                            |         20 |        968 |         64 |        120 |      1,152 |
| happ_client/lib/src/utils (Files)                                                                                                    |          5 |        184 |         32 |         39 |        255 |
| happ_client/lib/src/utils/buttons                                                                                                    |          1 |         56 |          0 |          6 |         62 |
| happ_client/lib/src/utils/event                                                                                                      |          2 |        357 |          2 |         41 |        400 |
| happ_client/lib/src/utils/indicators                                                                                                 |          1 |         40 |          0 |          0 |         40 |
| happ_client/lib/src/utils/network                                                                                                    |          2 |         15 |          5 |          3 |         23 |
| happ_client/lib/src/utils/user                                                                                                       |          2 |         13 |         14 |          9 |         36 |
| happ_client/lib/src/utils/userLocation                                                                                               |          1 |         14 |          5 |          2 |         21 |
| happ_client/lib/src/utils/widgets                                                                                                    |          6 |        289 |          6 |         20 |        315 |
| happ_client/test                                                                                                                     |          1 |         14 |         10 |          7 |         31 |
| happ_server                                                                                                                          |        112 |     37,452 |      5,207 |      5,120 |     47,779 |
| happ_server (Files)                                                                                                                  |          6 |        988 |         39 |         49 |      1,076 |
| happ_server/config                                                                                                                   |          1 |         73 |         11 |         20 |        104 |
| happ_server/database                                                                                                                 |          1 |         57 |          3 |         16 |         76 |
| happ_server/ent                                                                                                                      |         71 |     23,353 |      4,168 |      3,022 |     30,543 |
| happ_server/ent (Files)                                                                                                              |         46 |     20,247 |      3,309 |      2,329 |     25,885 |
| happ_server/ent/device                                                                                                               |          2 |        244 |         71 |         65 |        380 |
| happ_server/ent/enttest                                                                                                              |          1 |         63 |          9 |         13 |         85 |
| happ_server/ent/event                                                                                                                |          2 |        651 |        206 |        174 |      1,031 |
| happ_server/ent/eventremindernotification                                                                                            |          2 |        259 |         73 |         62 |        394 |
| happ_server/ent/eventuser                                                                                                            |          2 |        278 |         83 |         66 |        427 |
| happ_server/ent/follow                                                                                                               |          2 |        215 |         59 |         48 |        322 |
| happ_server/ent/hook                                                                                                                 |          1 |        174 |         56 |         33 |        263 |
| happ_server/ent/migrate                                                                                                              |          2 |        197 |         39 |         15 |        251 |
| happ_server/ent/predicate                                                                                                            |          1 |         10 |          7 |          9 |         26 |
| happ_server/ent/runtime                                                                                                              |          1 |          5 |          2 |          4 |         11 |
| happ_server/ent/schema                                                                                                               |          7 |        336 |         62 |         54 |        452 |
| happ_server/ent/schema (Files)                                                                                                       |          6 |        299 |         55 |         46 |        400 |
| happ_server/ent/schema/schematype                                                                                                    |          1 |         37 |          7 |          8 |         52 |
| happ_server/ent/user                                                                                                                 |          2 |        674 |        192 |        150 |      1,016 |
| happ_server/graph                                                                                                                    |          7 |     11,937 |        224 |      1,537 |     13,698 |
| happ_server/graph (Files)                                                                                                            |          4 |      2,491 |        194 |        551 |      3,236 |
| happ_server/graph/dataloaders                                                                                                        |          1 |         72 |         11 |         18 |        101 |
| happ_server/graph/generated                                                                                                          |          1 |      9,215 |         18 |        932 |     10,165 |
| happ_server/graph/model                                                                                                              |          1 |        159 |          1 |         36 |        196 |
| happ_server/hash                                                                                                                     |          1 |         98 |          8 |         25 |        131 |
| happ_server/jwtActions                                                                                                               |          2 |          9 |        119 |         33 |        161 |
| happ_server/middleware                                                                                                               |          1 |         38 |          0 |         16 |         54 |
| happ_server/migration                                                                                                                |          1 |         34 |          4 |          7 |         45 |
| happ_server/resolverUtils                                                                                                            |          1 |          1 |        272 |         63 |        336 |
| happ_server/utils                                                                                                                    |         20 |        864 |        359 |        332 |      1,555 |
| happ_server/utils (Files)                                                                                                            |          4 |         69 |         17 |         35 |        121 |
| happ_server/utils/AES-GCM_Encryption                                                                                                 |          1 |         32 |          0 |         11 |         43 |
| happ_server/utils/DBTransactions                                                                                                     |          1 |         17 |         12 |          4 |         33 |
| happ_server/utils/aws                                                                                                                |          4 |        222 |        228 |        125 |        575 |
| happ_server/utils/aws (Files)                                                                                                        |          1 |         45 |          0 |         14 |         59 |
| happ_server/utils/aws/awsParams                                                                                                      |          1 |        134 |          2 |         32 |        168 |
| happ_server/utils/aws/awsS3                                                                                                          |          1 |         42 |          0 |          9 |         51 |
| happ_server/utils/aws/createParam                                                                                                    |          1 |          1 |        226 |         70 |        297 |
| happ_server/utils/background                                                                                                         |          1 |        210 |          3 |         40 |        253 |
| happ_server/utils/firebase                                                                                                           |          2 |         75 |          0 |         20 |         95 |
| happ_server/utils/inputHandlers                                                                                                      |          1 |         19 |          0 |          4 |         23 |
| happ_server/utils/meilisearch                                                                                                        |          2 |        129 |         46 |         47 |        222 |
| happ_server/utils/newEventUtils                                                                                                      |          1 |         41 |         12 |         16 |         69 |
| happ_server/utils/notifications                                                                                                      |          1 |         48 |          0 |         10 |         58 |
| happ_server/utils/redis                                                                                                              |          2 |          2 |         41 |         20 |         63 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                             | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/juanma/development/golang/happ/happ_client/README.md                                                                          | Markdown         |         10 |          0 |          7 |         17 |
| /Users/juanma/development/golang/happ/happ_client/analysis_options.yaml                                                              | YAML             |          3 |         23 |          4 |         30 |
| /Users/juanma/development/golang/happ/happ_client/android/app/build.gradle                                                           | Groovy           |         54 |          5 |         13 |         72 |
| /Users/juanma/development/golang/happ/happ_client/android/app/src/debug/AndroidManifest.xml                                          | XML              |          4 |          4 |          1 |          9 |
| /Users/juanma/development/golang/happ/happ_client/android/app/src/main/AndroidManifest.xml                                           | XML              |         28 |          6 |          1 |         35 |
| /Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/drawable-v21/launch_background.xml                        | XML              |          4 |          7 |          2 |         13 |
| /Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/drawable/launch_background.xml                            | XML              |          4 |          7 |          2 |         13 |
| /Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/values-night/styles.xml                                   | XML              |          9 |          9 |          1 |         19 |
| /Users/juanma/development/golang/happ/happ_client/android/app/src/main/res/values/styles.xml                                         | XML              |          9 |          9 |          1 |         19 |
| /Users/juanma/development/golang/happ/happ_client/android/app/src/profile/AndroidManifest.xml                                        | XML              |          4 |          4 |          1 |          9 |
| /Users/juanma/development/golang/happ/happ_client/android/build.gradle                                                               | Groovy           |         27 |          0 |          5 |         32 |
| /Users/juanma/development/golang/happ/happ_client/android/gradle.properties                                                          | Properties       |          3 |          0 |          1 |          4 |
| /Users/juanma/development/golang/happ/happ_client/android/gradle/wrapper/gradle-wrapper.properties                                   | Properties       |          5 |          1 |          1 |          7 |
| /Users/juanma/development/golang/happ/happ_client/android/settings.gradle                                                            | Groovy           |          8 |          0 |          4 |         12 |
| /Users/juanma/development/golang/happ/happ_client/assets/logos/mapbox-logo-svg-black.svg                                             | XML              |         37 |          1 |          1 |         39 |
| /Users/juanma/development/golang/happ/happ_client/build.yaml                                                                         | YAML             |         21 |          8 |          0 |         29 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/acceptInvitation.graphql                                         | GraphQL          |          6 |          0 |          0 |          6 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/addGuests.graphql                                                | GraphQL          |          6 |          0 |          0 |          6 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/addOrRemoveUser.graphql                                          | GraphQL          |          9 |          0 |          0 |          9 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/deleteEvent.graphql                                              | GraphQL          |          5 |          0 |          0 |          5 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/deleteUser.graphql                                               | GraphQL          |          3 |          0 |          0 |          3 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/inviteGuestsAndOrganizers.graphql                                | GraphQL          |         11 |          0 |          0 |         11 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/leaveEvent.graphql                                               | GraphQL          |          5 |          0 |          0 |          5 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/newEvent.graphql                                                 | GraphQL          |         24 |          0 |          0 |         24 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/refreshTokens.graphql                                            | GraphQL          |          0 |          6 |          0 |          6 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/removeGuests.graphql                                             | GraphQL          |          6 |          0 |          0 |          6 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/saveDevice.graphql                                               | GraphQL          |          3 |          0 |          0 |          3 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/scanPass.graphql                                                 | GraphQL          |          6 |          0 |          0 |          6 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/signIn.graphql                                                   | GraphQL          |         14 |          0 |          0 |         14 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/signUp.graphql                                                   | GraphQL          |          0 |         21 |          0 |         21 |
| /Users/juanma/development/golang/happ/happ_client/graphql/mutations/updateEvent.graphql                                              | GraphQL          |         28 |          0 |          0 |         28 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/getEventGuests.graphql                                             | GraphQL          |         11 |          0 |          0 |         11 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/getEventHosts.graphql                                              | GraphQL          |         11 |          0 |          0 |         11 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/getUserEvents.graphql                                              | GraphQL          |         42 |          0 |          0 |         42 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/getUserEventsFromFriends.graphql                                   | GraphQL          |         42 |          0 |          0 |         42 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/getUserOtherEvents.graphql                                         | GraphQL          |         42 |          0 |          0 |         42 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/searchForUsersToAddAsGuests.graphql                                | GraphQL          |          8 |          0 |          0 |          8 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/searchUsers.graphql                                                | GraphQL          |          9 |          0 |          0 |          9 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/seePass.graphql                                                    | GraphQL          |          3 |          0 |          0 |          3 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/userAccess.graphql                                                 | GraphQL          |          9 |          1 |          0 |         10 |
| /Users/juanma/development/golang/happ/happ_client/graphql/queries/userFromId.graphql                                                 | GraphQL          |          9 |          0 |          0 |          9 |
| /Users/juanma/development/golang/happ/happ_client/ios/Runner/AppDelegate.swift                                                       | Swift            |         12 |          0 |          2 |         14 |
| /Users/juanma/development/golang/happ/happ_client/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                        | JSON             |        122 |          0 |          1 |        123 |
| /Users/juanma/development/golang/happ/happ_client/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                      | JSON             |         23 |          0 |          1 |         24 |
| /Users/juanma/development/golang/happ/happ_client/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                          | Markdown         |          3 |          0 |          2 |          5 |
| /Users/juanma/development/golang/happ/happ_client/ios/Runner/Base.lproj/LaunchScreen.storyboard                                      | XML              |         36 |          1 |          1 |         38 |
| /Users/juanma/development/golang/happ/happ_client/ios/Runner/Base.lproj/Main.storyboard                                              | XML              |         25 |          1 |          1 |         27 |
| /Users/juanma/development/golang/happ/happ_client/ios/Runner/Runner-Bridging-Header.h                                                | C++              |          1 |          0 |          1 |          2 |
| /Users/juanma/development/golang/happ/happ_client/lib/main.dart                                                                      | Dart             |        156 |         58 |         34 |        248 |
| /Users/juanma/development/golang/happ/happ_client/lib/my_flutter_app_icons.dart                                                      | Dart             |          6 |         19 |          6 |         31 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/api/graphql/graphql_api.dart                                               | Dart             |          1 |          1 |          1 |          3 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/api/graphql/graphql_api.graphql.dart                                       | Dart             |      3,660 |          2 |        665 |      4,327 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/api/graphql/graphql_api.graphql.g.dart                                     | Dart             |      1,341 |          5 |        185 |      1,531 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/api/graphql/upload_serializer.dart                                         | Dart             |          9 |          1 |          5 |         15 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/client/client.dart                                                         | Dart             |          4 |          0 |          1 |          5 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/client/customLink.dart                                                     | Dart             |          0 |        101 |         22 |        123 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/models/customMultipartFile.dart                                            | Dart             |         48 |          0 |          3 |         51 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/repos/eventRepo.dart                                                       | Dart             |        251 |          1 |         38 |        290 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/repos/userRepo.dart                                                        | Dart             |        121 |         35 |         26 |        182 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/acceptInvitation/acceptInvitation.dart                            | Dart             |         23 |          1 |          5 |         29 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/acceptInvitation/acceptInvitationState.dart                       | Dart             |         17 |          0 |          8 |         25 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/addGuests/addGuests.dart                                          | Dart             |         25 |          0 |          5 |         30 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/addGuests/addGuestsState.dart                                     | Dart             |         29 |          0 |         11 |         40 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/addNewGuestsSelect/addNewGuestsSelect.dart                        | Dart             |         17 |          4 |          5 |         26 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/addNewGuestsSelect/addNewGuestsSelectState.dart                   | Dart             |         24 |          0 |         11 |         35 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/addRemove/addRemove.dart                                          | Dart             |         40 |         26 |          5 |         71 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/addRemove/addRemoveState.dart                                     | Dart             |         29 |          1 |         11 |         41 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/auth/buttonState.dart                                             | Dart             |         16 |          1 |          5 |         22 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/authFlowNotifier/authFlowNotifier.dart                            | Dart             |         12 |          0 |          4 |         16 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/authFlowNotifier/authFlowNotifierState.dart                       | Dart             |          8 |          1 |          5 |         14 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/currentUser/currentUser.dart                                      | Dart             |         10 |          0 |          4 |         14 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/deleteEvent/deleteEvent.dart                                      | Dart             |         24 |          2 |          5 |         31 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/deleteEvent/deleteEventState.dart                                 | Dart             |         31 |          0 |         11 |         42 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/deleteUser/deleteUser.dart                                        | Dart             |         21 |          0 |          5 |         26 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/deleteUser/deleteUserState.dart                                   | Dart             |         17 |          0 |          8 |         25 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/eventGuests/eventGuests.dart                                      | Dart             |         28 |          2 |          8 |         38 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/eventGuests/eventGuestsState.dart                                 | Dart             |         25 |          0 |         11 |         36 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/eventHosts/eventHosts.dart                                        | Dart             |         23 |          3 |          5 |         31 |
| /Users/juanma/development/golang/happ/happ_client/lib/src/riverpod/eventHosts/eventHostsState.dart                                   | Dart             |         17 |          0 |          8 |         25 |
